product_url,item_type,image_link,auction_date,location,product_name,lot_id,auctioner,website
https://www.biddergy.com/Listing/Details/241605346/Case-Of-24-Qty-Delta-44080SS-Stainless-Steel-Vertical-Liquid-Soap-Dispensers,steel,https://www.biddergy.com/Content/listingImages/20220902/1a3c5685-9f75-4952-b703-b410cea03840_fullsize.jpg,"Item ends Thursday, September 15, 2022 - 8:00PM (EDT)","1919 E Kilgore Service Road, Kalamazoo, MI, 49001",Case Of (24 Qty) Delta 44080-SS Stainless Steel Vertical Liquid Soap Dispensers,Lot # 656373,,bidspotter
https://www.biddergy.com/Listing/Details/241604704/Case-Of-24-Qty-Delta-44080SS-Stainless-Steel-Vertical-Liquid-Soap-Dispensers,steel,https://www.biddergy.com/Content/listingImages/20220902/e266b26e-03f1-4987-a78c-846e06aadeb2_fullsize.jpg,"Item ends Thursday, September 15, 2022 - 8:00PM (EDT)","1919 E Kilgore Service Road, Kalamazoo, MI, 49001",Case Of (24 Qty) Delta 44080-SS Stainless Steel Vertical Liquid Soap Dispensers,Lot # 656372,,bidspotter
https://www.biddergy.com/Listing/Details/241603195/Case-Of-24-Qty-Delta-44080SS-Stainless-Steel-Vertical-Liquid-Soap-Dispensers,steel,https://www.biddergy.com/Content/listingImages/20220902/46e8d644-ab3a-4c39-9860-246d8f8c18ca_fullsize.jpg,"Item ends Thursday, September 15, 2022 - 8:00PM (EDT)","1919 E Kilgore Service Road, Kalamazoo, MI, 49001",Case Of (24 Qty) Delta 44080-SS Stainless Steel Vertical Liquid Soap Dispensers,Lot # 656371,,bidspotter
https://www.biddergy.com/Listing/Details/241602624/Case-Of-24-Qty-Delta-44080SS-Stainless-Steel-Vertical-Liquid-Soap-Dispensers,steel,https://www.biddergy.com/Content/listingImages/20220902/8b751ea7-acc1-45f9-90ad-eed9a84e8d0a_fullsize.jpg,"Item ends Thursday, September 15, 2022 - 8:00PM (EDT)","1919 E Kilgore Service Road, Kalamazoo, MI, 49001",Case Of (24 Qty) Delta 44080-SS Stainless Steel Vertical Liquid Soap Dispensers,Lot # 656370,,bidspotter
https://www.biddergy.com/Listing/Details/241600647/Case-Of-24-Qty-Delta-44080SS-Stainless-Steel-Vertical-Liquid-Soap-Dispensers,steel,https://www.biddergy.com/Content/listingImages/20220902/8773cc93-656f-4ce0-8fad-0d41d87932dd_fullsize.jpg,"Item ends Thursday, September 15, 2022 - 8:00PM (EDT)","1919 E Kilgore Service Road, Kalamazoo, MI, 49001",Case Of (24 Qty) Delta 44080-SS Stainless Steel Vertical Liquid Soap Dispensers,Lot # 656367,,bidspotter
https://www.biddergy.com/Listing/Details/241602135/Case-Of-24-Qty-Delta-44080SS-Stainless-Steel-Vertical-Liquid-Soap-Dispensers,steel,https://www.biddergy.com/Content/listingImages/20220902/ac796190-278d-40bd-a529-6c3961d88010_fullsize.jpg,"Item ends Thursday, September 15, 2022 - 8:00PM (EDT)","1919 E Kilgore Service Road, Kalamazoo, MI, 49001",Case Of (24 Qty) Delta 44080-SS Stainless Steel Vertical Liquid Soap Dispensers,Lot # 656369,,bidspotter
https://www.biddergy.com/Listing/Details/241600043/Case-Of-24-Qty-Delta-44080SS-Stainless-Steel-Vertical-Liquid-Soap-Dispensers,steel,https://www.biddergy.com/Content/listingImages/20220902/6faa563a-dbf3-4cc6-897e-ff509cd362ec_fullsize.jpg,"Item ends Thursday, September 15, 2022 - 8:00PM (EDT)","1919 E Kilgore Service Road, Kalamazoo, MI, 49001",Case Of (24 Qty) Delta 44080-SS Stainless Steel Vertical Liquid Soap Dispensers,Lot # 656366,,bidspotter
https://www.biddergy.com/Listing/Details/241600881/Case-Of-24-Qty-Delta-44080SS-Stainless-Steel-Vertical-Liquid-Soap-Dispensers,steel,https://www.biddergy.com/Content/listingImages/20220902/cb099213-f36a-4faf-b13b-abb52ee0cc67_fullsize.jpg,"Item ends Thursday, September 15, 2022 - 8:00PM (EDT)","1919 E Kilgore Service Road, Kalamazoo, MI, 49001",Case Of (24 Qty) Delta 44080-SS Stainless Steel Vertical Liquid Soap Dispensers,Lot # 656368,,bidspotter
https://www.biddergy.com/Listing/Details/241551202/NEW-2-HAMPTON-BAY-1Light-Wall-Sconce-With-Glass-Shade,steel,https://www.biddergy.com/Content/listingImages/20220906/8383197c-bdc0-4dd1-8222-eebd3e314afe_fullsize.jpg,"Item ends Thursday, September 15, 2022 - 8:03PM (EDT)","1919 E Kilgore Service Road, Kalamazoo, MI, 49001",NEW - (2) HAMPTON BAY 1-Light Wall Sconce With Glass Shade,Lot # KZ0010096,,bidspotter
https://www.biddergy.com/Listing/Details/241235166/Pallet-w-Steel-Beams,steel,https://www.biddergy.com/Content/listingImages/20220901/d8639663-23db-4d54-a790-3efd07b4be6a_fullsize.jpg,"Item ends Tuesday, September 20, 2022 - 8:06PM (EDT)","Grand Rapids, MI",Pallet w/ Steel Beams,Lot # 655377,,bidspotter
https://www.biddergy.com/Listing/Details/241224861/4-Qty-Steel-Doors-2-Qty-Steel-Door-Frames,steel,https://www.biddergy.com/Content/listingImages/20220901/001eb1c1-fa4b-4199-8dc4-977c89db02f7_fullsize.jpg,"Item ends Tuesday, September 20, 2022 - 8:06PM (EDT)","Grand Rapids, MI",(4 Qty) Steel Doors & (2 Qty) Steel Door Frames,Lot # 655368,,bidspotter
https://www.biddergy.com/Listing/Details/241188365/Steel-work-Bench-Table,steel,https://www.biddergy.com/Content/listingImages/20220831/c45d1661-6b47-4e16-98e7-e98a9709d9ae_fullsize.jpg,"Item ends Tuesday, September 20, 2022 - 8:03PM (EDT)","Grand Rapids, MI",Steel work Bench Table,Lot # 656506,,bidspotter
https://www.biddergy.com/Listing/Details/241590841/Harley-Exhaust-Pipes-w-Glass-Packs,pipe,https://www.biddergy.com/Content/listingImages/20220902/4bb2afee-77fe-4b89-9e94-755e50f3142a_fullsize.jpg,"Item ends Tuesday, September 27, 2022 - 8:00PM (EDT)",Various Locations,Harley Exhaust Pipes w/ Glass Packs,Lot # 492540,,bidspotter
https://www.biddergy.com/Listing/Details/243062231/Wisdom-24-Aluminum-Heavy-Duty-Pipe-Wrench,pipe,https://www.biddergy.com/Content/listingImages/20220914/93e17f94-d96a-4a81-830e-89b52c4c1ecb_fullsize.jpg,"Item ends Wednesday, September 21, 2022 - 8:24PM (EDT)","1919 E. Kilgore Service Road, Kalamazoo, MI, 49001","Wisdom 24"" Aluminum Heavy Duty Pipe Wrench",Lot # 825112,,bidspotter
https://www.biddergy.com/Listing/Details/243061176/2-Qty-Rigid-Heavy-Duty-Pipe-Wrenches,pipe,https://www.biddergy.com/Content/listingImages/20220914/5cac3139-0a9e-4aa3-8a78-a5741d5dd6bf_fullsize.jpg,"Item ends Wednesday, September 21, 2022 - 8:24PM (EDT)","1919 E. Kilgore Service Road, Kalamazoo, MI, 49001",(2 Qty) Rigid Heavy Duty Pipe Wrenches,Lot # 825111,,bidspotter
https://www.biddergy.com/Listing/Details/242767877/New-Hamilton-Beach-11-CU-Ft-Wide-Mid-Size-Microwave-Oven,steel,https://www.biddergy.com/Content/listingImages/20220913/6045510c-cdd8-48de-bf26-9d18a6a66f62_fullsize.jpg,"Item ends Wednesday, September 21, 2022 - 8:12PM (EDT)","1919 E. Kilgore Service Road, Kalamazoo, MI, 49001",New Hamilton Beach 1.1 CU Ft. Wide Mid Size Microwave Oven,Lot # 825417,,bidspotter
https://www.biddergy.com/Listing/Details/242997629/NEW-PIPE-DECOR-Douglas-Fir-Wood-Shelves,pipe,https://www.biddergy.com/Content/listingImages/20220914/ec840822-081c-4090-8d27-c0608e46ff40_fullsize.jpg,"Item ends Tuesday, September 20, 2022 - 8:03PM (EDT)","17000 Northville Road, Northville, MI, 48168",NEW - PIPE DECOR Douglas Fir Wood Shelves,Lot # NV003956,,bidspotter
https://www.biddergy.com/Listing/Details/242825676/Boat-Trailer-Hand-Crank-Winch-with-Steel-Cable,steel,https://www.biddergy.com/Content/listingImages/20220913/9cc3bb22-96c5-440b-aa51-066360796fb3_fullsize.jpg,"Item ends Wednesday, September 21, 2022 - 8:15PM (EDT)","1919 E. Kilgore Service Road, Kalamazoo, MI, 49001",Boat Trailer Hand Crank Winch with Steel Cable,Lot # 825034,,bidspotter
https://www.biddergy.com/Listing/Details/241076624/Pallet-Lot-of-Various-Steel-Pieces,steel,https://www.biddergy.com/Content/listingImages/20220831/abafad6c-9024-4edb-a340-d03e96f2b634_fullsize.jpg,"Item ends Tuesday, September 20, 2022 - 8:03PM (EDT)","Grand Rapids, MI",Pallet Lot of Various Steel Pieces,Lot # 655344,,bidspotter
https://www.biddergy.com/Listing/Details/241123008/2-Qty-Steel-Roller-Conveyors,steel,https://www.biddergy.com/Content/listingImages/20220831/89253ab5-07dd-46a8-992b-c619f28af15c_fullsize.jpg,"Item ends Tuesday, September 20, 2022 - 8:03PM (EDT)","Grand Rapids, MI",(2 Qty) Steel Roller Conveyors,Lot # 656485,,bidspotter
https://www.biddergy.com/Listing/Details/242560640/NEW-Legend-Stainless-Steel-Sink-Grid-Insert,steel,https://www.biddergy.com/Content/listingImages/20220909/f2978f6e-ae09-484b-bb66-492ae5eb9a48_fullsize.jpg,"Item ends Wednesday, September 21, 2022 - 8:09PM (EDT)","1919 E. Kilgore Service Road, Kalamazoo, MI, 49001","NEW, Legend Stainless Steel Sink Grid Insert",Lot # 823010,,bidspotter
https://www.biddergy.com/Listing/Details/241057046/Lot-of-Steel-Beams,steel,https://www.biddergy.com/Content/listingImages/20220831/3f5c91fb-9e92-4a56-b932-defdc02b5cba_fullsize.jpg,"Item ends Tuesday, September 20, 2022 - 8:00PM (EDT)","Grand Rapids, MI",Lot of Steel Beams,Lot # 655339,,bidspotter
